country,current_account_gdp,npl_ratio,bank_capital_assets,reserves_months,inflation,inflation_vol,interest_spread,private_credit_gdp,fiscal_balance_gdp,gdp_usd,gdp_growth,gdp_per_capita_ppp,iiag_participation_rights,iiag_security_rol,population
AGO,6.25443212378637,16.788455899546033,9.621850732114517,6.173300032530913,20.021236036706302,4.7176431509200905,12.34948403190076,9.58322512981908,-0.6206516937603073,91505276984.43619,0.6669871504091669,9041.80680003773,44.32000000000001,43.36,34548825.6
BEN,-4.752578648805366,,,,1.9157179229430032,0.9558086076618231,1.2563888888888866,,,16972949564.547998,6.095131022744505,3474.5581597948794,62.5,63.4,13416175.2
BFA,-2.255708154851635,,,,3.4675449605230115,6.557375080855659,1.2563888888888866,30.012653413917043,-6.712209859342911,18438075232.81868,3.8939018521454956,2442.8610371459,62.2,53.61999999999999,21994139.8
BWA,-3.516647801998276,4.154168041500552,8.86886114356993,6.852830420898646,5.727476845000002,3.9191908820353625,4.248714351851854,34.02930692020556,-2.7687085118828447,18033751911.76788,2.982649715779126,17987.17621604744,67.26000000000002,69.94,2403910.8
CIV,-4.993944535574045,,,,3.3931658745490623,1.779120164928077,,,-5.2997499092302345,69581704307.92604,5.496862690168236,6104.212341386991,57.78000000000001,52.779999999999994,29661770.0
CMR,-3.8997935045494687,14.096476542078378,6.288215092491936,5.217049323229473,4.158551912746899,2.4592250773338016,,,-3.09758178351318,43722928734.30586,2.8316394565590732,4831.65908317616,40.2,35.94,26927573.8
COD,-3.3783451481787052,6.481259605379004,5.890980389026752,1.2541819401135421,,,19.523670708565366,8.199947244311135,-1.07905952861499,58574236247.99144,5.121016323180655,1440.37092244886,35.31999999999999,24.88,99254614.2
CPV,-7.02399610016259,,,7.153695872036569,3.0461525397146745,2.976430860084689,7.1134227909612715,60.3805791609784,,2175422849.95392,2.762903524827906,8416.696966096491,78.12,69.24000000000001,517500.8
DZA,-2.1949203975672362,17.7557508347348,9.14618136605165,15.41126437802042,6.036130300063311,3.6206560362206535,6.25,21.75531209531016,,203613962919.0366,1.4800000000298075,14766.34894972438,46.04,51.379999999999995,44747868.8
EGY,-3.3365012727558097,,,4.597504361340282,13.438443835445227,11.986659204609104,3.608333333333294,27.394756639501743,,399968443604.05994,4.548206010624439,15793.319698478681,28.4,42.92,110995862.4
