country,sector,sector_score,data_coverage,rank,percentile
NAM,healthcare,1.8958935636739094,0.6666666666666666,1,100.0
ZAF,healthcare,1.6908059803654574,0.6666666666666666,2,96.29629629629629
BWA,healthcare,1.0148277137707604,1.0,3,92.5925925925926
ZMB,healthcare,0.939800854629238,0.6666666666666666,4,88.88888888888889
MOZ,healthcare,0.7859183498048954,1.0,5,85.18518518518519
MUS,healthcare,0.7169080250661265,1.0,6,81.48148148148148
TUN,healthcare,0.5898007306873018,1.0,7,77.77777777777779
CPV,healthcare,0.5478894978994027,0.6666666666666666,8,74.07407407407408
RWA,healthcare,0.3830402415014282,1.0,9,70.37037037037037
BFA,healthcare,0.3318594224705319,0.6666666666666666,10,66.66666666666666
KEN,healthcare,0.0615962693873999,0.6666666666666666,11,62.96296296296296
UGA,healthcare,-0.09766223022441622,0.6666666666666666,12,59.25925925925925
GHA,healthcare,-0.21943243467999077,0.6666666666666666,13,55.55555555555556
MAR,healthcare,-0.22678704752588055,1.0,14,51.85185185185185
DZA,healthcare,-0.31281119549111636,0.6666666666666666,15,48.148148148148145
TZA,healthcare,-0.3943647312754071,1.0,16,44.44444444444444
CIV,healthcare,-0.40769610960445773,0.6666666666666666,17,40.74074074074074
SEN,healthcare,-0.48091304750494723,0.6666666666666666,18,37.03703703703704
COD,healthcare,-0.4882099960023397,0.6666666666666666,19,33.33333333333333
EGY,healthcare,-0.5600948273362946,1.0,20,29.629629629629626
AGO,healthcare,-0.610217467046366,0.6666666666666666,21,25.925925925925924
TGO,healthcare,-0.6496626842136587,1.0,22,22.22222222222222
MLI,healthcare,-0.6498619569605345,0.6666666666666666,23,18.51851851851852
ETH,healthcare,-0.7082555193610447,0.6666666666666666,24,14.814814814814813
BEN,healthcare,-0.9441240190574837,1.0,25,11.11111111111111
CMR,healthcare,-1.1643674774794084,0.6666666666666666,26,7.4074074074074066
NGA,healthcare,-1.4016107812039877,0.6666666666666666,27,3.7037037037037033
DZA,consumer,0.7749762337863965,1.0,1,100.0
