country,thr33_equal,thr33_macro_tilt,thr33_banking_tilt,thr33_institutions_tilt,thr50_equal,thr50_macro_tilt,thr50_banking_tilt,thr50_institutions_tilt,thr66_equal,thr66_macro_tilt,thr66_banking_tilt,thr66_institutions_tilt,baseline
ZAF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MUS,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0
BWA,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0
CPV,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
BEN,5.0,3.0,6.0,5.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0
MAR,6.0,7.0,5.0,9.0,6.0,7.0,5.0,9.0,11.0,10.0,12.0,11.0,6.0
TZA,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0
NGA,8.0,11.0,13.0,13.0,8.0,11.0,13.0,13.0,7.0,11.0,11.0,12.0,8.0
TUN,9.0,12.0,8.0,7.0,9.0,12.0,8.0,7.0,8.0,12.0,7.0,7.0,9.0
KEN,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0
CIV,11.0,9.0,12.0,11.0,11.0,9.0,12.0,11.0,10.0,8.0,10.0,10.0,11.0
DZA,12.0,8.0,18.0,16.0,12.0,8.0,18.0,16.0,12.0,7.0,16.0,16.0,12.0
SEN,13.0,15.0,15.0,8.0,13.0,15.0,15.0,8.0,13.0,14.0,14.0,8.0,13.0
BFA,14.0,14.0,11.0,12.0,14.0,14.0,11.0,12.0,19.0,17.0,19.0,15.0,14.0
NAM,15.0,17.0,10.0,14.0,15.0,17.0,10.0,14.0,14.0,16.0,9.0,13.0,15.0
EGY,16.0,19.0,17.0,22.0,16.0,19.0,17.0,22.0,18.0,19.0,18.0,23.0,16.0
UGA,17.0,16.0,14.0,20.0,17.0,16.0,14.0,20.0,15.0,15.0,13.0,20.0,17.0
RWA,18.0,18.0,16.0,17.0,18.0,18.0,16.0,17.0,16.0,18.0,15.0,17.0,18.0
TGO,19.0,13.0,19.0,18.0,19.0,13.0,19.0,18.0,17.0,13.0,17.0,18.0,19.0
ETH,20.0,21.0,20.0,21.0,20.0,21.0,20.0,21.0,22.0,22.0,21.0,22.0,20.0
ZMB,21.0,20.0,21.0,19.0,21.0,20.0,21.0,19.0,20.0,20.0,20.0,19.0,21.0
GHA,22.0,25.0,23.0,15.0,22.0,25.0,23.0,15.0,21.0,26.0,23.0,14.0,22.0
MOZ,23.0,24.0,22.0,23.0,23.0,24.0,22.0,23.0,23.0,25.0,22.0,21.0,23.0
AGO,24.0,22.0,25.0,24.0,24.0,22.0,25.0,24.0,24.0,23.0,26.0,24.0,24.0
MLI,25.0,23.0,24.0,25.0,25.0,23.0,24.0,25.0,26.0,24.0,25.0,25.0,25.0
CMR,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,21.0,24.0,26.0,26.0
COD,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
